osm_id|lat|lon|name
5547720460|52.0608019|20.4634236|R. Dmowskiego
5547720462|52.0589637|20.4596395|R. Dmowskiego/Spacerowa
5547720464|52.0585751|20.4589462|Bohaterów/Spacerowa
5547720468|52.0567275|20.4559664|Bohaterów/Szkoła
5547720470|52.0561660|20.4549740|Bohaterów/Piaskowa
8850578056|52.0892834|20.3710622|Cmentarz
9045689526|52.0525627|20.4492067|Żyrardów
9045689527|52.0525622|20.4493533|Żyrardów
9045689528|52.0524571|20.4494463|Żyrardów
9045689529|52.0632056|20.4812015|Międzyborów
9045689530|52.0638196|20.4831734|Międzyborów
11525704801|52.0726452|20.4193961|Stare Kozłowice I
11525704802|52.0820465|20.4119061|Stare Kozłowice II
11525704804|52.0886365|20.3950030|Zagródź
11525704805|52.0887218|20.3935437|Zagródź
11525704806|52.0868238|20.3822738|Plac Wolności
11525825444|52.0721362|20.4199704|Stare Kozłowice I
11525825445|52.0631395|20.4300232|1 Maja/Baza PKS
11533905072|52.0523890|20.4474859|Żyrardów PKP
13448771788|52.0633086|20.4463545|Żyrardów Środkowa / Kilińskiego
13448771791|52.0633479|20.4463133|Żyrardów Środkowa / Kilińskiego
